"",level_0,level_1,SVD,SVDpp,SlopeOne,NMF,NormalPredictor,KNNBaseline,KNNBasic,KNNWithMeans,KNNWithZScore,BaselineOnly,CoClustering
0,Iteration_1,test_rmse,1.033099,1.022901,1.215882,1.179616,1.53049,1.119071,1.196035,1.153303,1.143032,1.02508,1.136711
1,Iteration_1,test_time,0.024412,0.143397,0.044773,0.017566,0.017177,0.065769,0.045173,0.045832,0.04802,0.013135,0.048244
2,Iteration_1,fit_time,0.046448,0.229557,0.017618,0.113749,0.006231,0.007776,0.002547,0.005461,0.017071,0.006535,0.126021
3,Iteration_2,test_rmse,1.010956,1.004074,1.091357,1.13732,1.546023,1.044986,1.122767,1.074768,1.0703,1.004487,1.090628
4,Iteration_2,test_time,0.044316,0.403948,0.203614,0.032052,0.027348,0.247153,0.161693,0.158638,0.217912,0.029468,0.032773
5,Iteration_2,fit_time,0.08804,0.665093,0.049227,0.185075,0.007697,0.01721,0.005465,0.012288,0.02466,0.01071,0.158208
6,Iteration_3,test_rmse,0.993364,0.982323,1.047579,1.09011,1.537417,1.004656,1.083328,1.031892,1.032112,0.989967,1.060336
7,Iteration_3,test_time,0.10312,0.631236,0.423942,0.056468,0.053637,0.524707,0.402738,0.376943,0.440949,0.036649,0.092314
8,Iteration_3,fit_time,0.118233,1.238116,0.056095,0.276121,0.018905,0.034422,0.015381,0.01761,0.03235,0.019036,0.224839
9,Iteration_4,test_rmse,0.983031,0.975207,1.016481,1.072998,1.541369,0.986539,1.059787,1.018164,1.018038,0.980151,1.048707
10,Iteration_4,test_time,0.137349,0.952656,0.618791,0.067804,0.059606,0.926431,0.61895,0.57689,0.711668,0.098327,0.067196
11,Iteration_4,fit_time,0.176789,1.886169,0.083368,0.302008,0.026484,0.049418,0.019548,0.026037,0.046495,0.022897,0.295611
12,Iteration_5,test_rmse,0.977303,0.968594,1.003198,1.050731,1.528667,0.974139,1.042936,0.999397,1.000314,0.974494,1.027208
13,Iteration_5,test_time,0.160151,1.856949,1.022119,0.101022,0.135566,1.285773,1.01992,1.186673,1.228528,0.128702,0.13042
14,Iteration_5,fit_time,0.241945,2.888638,0.119497,0.503156,0.027399,0.081463,0.037462,0.047177,0.082606,0.058523,0.452645
15,Iteration_6,test_rmse,0.973564,0.962517,0.989911,1.039705,1.522201,0.966409,1.030574,0.992537,0.995281,0.96868,1.022059
16,Iteration_6,test_time,0.190134,2.230675,1.238269,0.181434,0.161041,1.896995,1.486282,1.611379,1.766937,0.136538,0.172275
17,Iteration_6,fit_time,0.286408,3.644715,0.153506,0.657349,0.042544,0.135719,0.063179,0.069898,0.093924,0.071048,0.561385
18,Iteration_7,test_rmse,0.970084,0.957657,0.984679,1.026419,1.525878,0.960893,1.024509,0.985738,0.984121,0.96396,1.013843
19,Iteration_7,test_time,0.203325,2.573727,1.381766,0.210445,0.217091,2.471439,2.045908,1.998726,2.244306,0.18792,0.204674
20,Iteration_7,fit_time,0.379169,4.150473,0.162851,0.750404,0.048669,0.176913,0.076861,0.087198,0.136263,0.085315,0.743221
21,Iteration_8,test_rmse,0.96471,0.948949,0.972038,1.011773,1.521536,0.955648,1.015595,0.97605,0.983077,0.960729,1.001775
22,Iteration_8,test_time,0.24215,3.345843,2.304807,0.238015,0.223069,4.094587,3.484651,2.952064,3.147391,0.272422,0.266593
23,Iteration_8,fit_time,0.466939,4.8603,0.259111,0.974395,0.057613,0.293683,0.179261,0.150456,0.187943,0.136221,1.070959
24,Iteration_9,test_rmse,0.960624,0.94247,0.964631,1.0027,1.520745,0.950671,1.008341,0.972711,0.973131,0.955251,0.997981
25,Iteration_9,test_time,0.309518,4.18496,2.693349,0.255877,0.295917,4.115647,3.375878,3.735375,3.766297,0.292003,0.206034
26,Iteration_9,fit_time,0.583077,6.584917,0.278299,1.089165,0.065507,0.315559,0.147035,0.167238,0.214434,0.155097,0.843157
27,Iteration_10,test_rmse,0.956183,0.940025,0.957362,0.994542,1.522227,0.944561,1.00387,0.968669,0.966949,0.953351,0.98953
28,Iteration_10,test_time,0.348011,4.390986,2.809347,0.245551,0.280676,4.711047,4.14964,4.21857,4.628532,0.263478,0.34457
29,Iteration_10,fit_time,0.528856,7.40641,0.272054,1.008475,0.065403,0.334396,0.177472,0.202506,0.240917,0.207309,1.226636
