"",level_0,level_1,SVD,SVDpp,SlopeOne,NMF,NormalPredictor,KNNBaseline,KNNBasic,KNNWithMeans,KNNWithZScore,BaselineOnly,CoClustering
0,Iteration_1,test_rmse,0.984373,0.98547,1.081655,1.140802,1.453384,1.05229,1.13702,1.077352,1.068083,0.979045,1.10035
1,Iteration_1,test_time,0.024382,0.443806,0.189675,0.02183,0.016888,0.050326,0.037627,0.039625,0.047054,0.013249,0.01629
2,Iteration_1,fit_time,0.061706,1.271541,0.045202,0.121089,0.004794,0.007456,0.001933,0.002723,0.007252,0.007331,0.13337
3,Iteration_2,test_rmse,1.002619,0.996281,1.077974,1.125822,1.495548,1.04649,1.110232,1.06293,1.066714,0.993039,1.098108
4,Iteration_2,test_time,0.046342,1.102531,0.474972,0.213406,0.031656,0.170439,0.114005,0.131716,0.149607,0.028342,0.036201
5,Iteration_2,fit_time,0.139307,2.383171,0.110979,0.220681,0.010443,0.020258,0.004351,0.008141,0.016783,0.018162,0.240614
6,Iteration_3,test_rmse,0.977078,0.970956,1.022687,1.090688,1.492946,1.000581,1.078996,1.014754,1.026282,0.968051,1.049598
7,Iteration_3,test_time,0.075445,1.926361,0.910592,0.058474,0.04457,0.324264,0.231575,0.421079,0.283442,0.044229,0.050803
8,Iteration_3,fit_time,0.152678,3.432667,0.17097,0.33126,0.016871,0.05297,0.00958,0.013631,0.026068,0.034455,0.337946
9,Iteration_4,test_rmse,0.970585,0.964695,1.002131,1.059124,1.498243,0.981773,1.052827,0.99906,1.00835,0.961726,1.030524
10,Iteration_4,test_time,0.094358,2.469561,1.525717,0.080156,0.063308,0.557695,0.396351,0.615101,0.479637,0.061719,0.072152
11,Iteration_4,fit_time,0.210295,4.626871,0.234624,0.440875,0.024135,0.070898,0.014968,0.020909,0.039146,0.064497,0.454986
12,Iteration_5,test_rmse,0.973456,0.96433,0.993537,1.045189,1.512795,0.9769,1.046055,0.997127,0.994963,0.962946,1.025087
13,Iteration_5,test_time,0.295267,3.550101,2.254241,0.14103,0.101184,0.851229,0.700039,0.746401,0.917163,0.076846,0.084856
14,Iteration_5,fit_time,0.26767,6.172004,0.311459,0.744256,0.04118,0.131309,0.021704,0.03408,0.057349,0.08842,0.540672
15,Iteration_6,test_rmse,0.967042,0.95497,0.979163,1.033996,1.514631,0.967568,1.027723,0.982943,0.983833,0.95993,1.01149
16,Iteration_6,test_time,0.328948,4.203705,2.458179,0.143763,0.097365,1.144388,0.847914,1.110881,1.018636,0.094443,0.293372
17,Iteration_6,fit_time,0.310517,7.215027,0.405429,0.862744,0.048948,0.142044,0.030628,0.039902,0.064456,0.109436,0.654472
18,Iteration_7,test_rmse,0.956078,0.941694,0.96908,1.012445,1.493644,0.951407,1.014828,0.968624,0.967558,0.950182,0.997472
19,Iteration_7,test_time,0.156753,4.586013,2.931833,0.133642,0.293907,1.499606,1.117014,1.206378,1.336503,0.105068,0.312839
20,Iteration_7,fit_time,0.373615,8.224773,0.392304,0.722816,0.04889,0.167091,0.037612,0.052029,0.076481,0.140009,0.753944
21,Iteration_8,test_rmse,0.94962,0.936052,0.954829,1.000315,1.487712,0.943828,1.001728,0.962492,0.963056,0.943921,0.986709
22,Iteration_8,test_time,0.174309,6.718256,3.745181,0.149438,0.317984,1.886313,1.610129,1.634831,1.933591,0.133584,0.163184
23,Iteration_8,fit_time,0.410972,10.792837,0.569194,0.823393,0.0568,0.208246,0.050704,0.064731,0.100374,0.177526,0.958509
24,Iteration_9,test_rmse,0.949697,0.935661,0.95481,0.998482,1.496646,0.940953,0.999951,0.963745,0.96153,0.944963,0.984206
25,Iteration_9,test_time,0.415322,6.842031,3.697537,0.164322,0.319758,2.246246,1.782165,1.834602,2.087077,0.1268,0.150349
26,Iteration_9,fit_time,0.4938,12.64694,0.501722,0.85583,0.063462,0.227962,0.055534,0.071161,0.108039,0.17788,0.896511
27,Iteration_10,test_rmse,0.94794,0.934658,0.950143,0.991994,1.499607,0.939215,0.993227,0.960066,0.957561,0.941962,0.983547
28,Iteration_10,test_time,0.393057,6.512161,4.35972,0.274768,0.356246,3.078539,2.473186,2.390858,2.355845,0.351757,0.160949
29,Iteration_10,fit_time,0.47648,12.049333,0.54503,0.966913,0.070423,0.255288,0.089547,0.089956,0.126288,0.220291,1.02564
